City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,berbera,10.4396,45.0143,24.22,65,65,2.16,SO,1675228295
225,nguruka,-5.1092,31.0419,17.93,93,42,1.42,TZ,1675228296
226,tyrma,50.0833,132.1667,-17.28,82,95,2.82,RU,1675228296
227,buala,-8.145,159.5921,28.53,71,93,3.41,SB,1675228297
228,tromso,69.6496,18.957,-0.99,93,75,2.06,NO,1675228297
229,sao jose da coroa grande,-8.8978,-35.1478,25.09,82,68,2.17,BR,1675228298
230,iqaluit,63.7506,-68.5145,-28.95,88,100,6.48,CA,1675228137
231,baraki barak,33.9675,68.9486,-5.44,77,98,1.09,AF,1675228299
232,auki,-8.7676,160.7034,28.92,71,89,3.99,SB,1675228125
233,san luis,-33.295,-66.3356,22.69,67,55,3.68,AR,1675228173
234,lima,-12.0432,-77.0282,23.83,78,0,5.14,PE,1675227755
235,buchanan,5.8808,-10.0467,24.83,92,1,1.51,LR,1675228300
236,tautira,-17.7333,-149.15,27.08,77,18,6.89,PF,1675228300
237,pangnirtung,66.1451,-65.7125,-30.48,75,100,1.67,CA,1675228285
238,inhambane,-23.865,35.3833,26.17,68,76,5.28,MZ,1675228301
239,bam,29.106,58.357,14.38,36,16,5.66,IR,1675228302
240,panama city,8.9936,-79.5197,24.54,81,100,4.12,PA,1675228302
241,aguas vermelhas,-15.7472,-41.46,16.69,99,6,0.91,BR,1675228302
242,san francisco,37.7749,-122.4194,10.78,63,20,3.6,US,1675227702
243,mildura,-34.2,142.15,27.82,33,0,4.66,AU,1675228192
244,lasa,46.6166,10.7002,-2.58,89,22,2.99,IT,1675228092
245,nchelenge,-9.3451,28.734,19.26,93,57,2.12,ZM,1675228304
246,bathsheba,13.2167,-59.5167,23.94,74,2,4.8,BB,1675228231
247,lexington,37.9887,-84.4777,-3.0,83,100,2.57,US,1675228118
248,quatre cocos,-20.2078,57.7625,28.06,70,98,6.26,MU,1675228304
249,ambilobe,-13.2,49.05,26.96,82,62,0.54,MG,1675228305
250,florianopolis,-27.6146,-48.5012,23.68,93,20,2.06,BR,1675227923
